M1/M2,Spin1x,Spin1y,Spin1z,Spin2x,Spin2y,Spin2z,Fspin,Fsnorm,Fsint
1.999765235,-0.031599372,0.036226721,-0.848532662,0.214723989,0.821431612,0.032453633,0.348651473,0.463907267,9.27814533
3.980344603,-0.401164371,-0.012262223,-0.454330368,-0.338014419,-0.484548084,-0.370390505,0.349546972,0.464704707,9.294094145
1.331672137,0,0,-0.950968204,0,0,-0.953094075,0.350609265,0.465650678,9.313013556
6.579765207,-9.15E-09,2.93E-08,2.51E-05,-1.75E-07,-1.24E-07,-5.07E-05,0.350818592,0.465837083,9.316741664
1.999815276,-0.016383034,-0.04857411,-0.848198295,-0.830442959,-0.176432868,0.032413563,0.352522492,0.467354404,9.34708808
6.49997453,2.63E-12,4.17E-12,6.33E-07,-8.80E-13,-3.44E-12,5.52E-07,0.353604317,0.468317768,9.366355356
2.872617246,0.013035984,-0.419389796,-0.624311994,0.15555461,0.21456332,0.155761068,0.353918229,0.468597306,9.37194612
2.414947887,0,0,-0.800827152,0,0,-0.500058045,0.35706832,0.471402458,9.428049161
7.999456693,3.99E-08,3.80E-07,0.077872635,-9.78E-08,-8.45E-08,-0.775914198,0.357768506,0.472025973,9.440519456
1.998957819,0,0,-1.77E-06,0,0,-0.800849819,0.359267943,0.47336122,9.46722439
6.277784691,2.08E-07,2.12E-08,0.009490446,-7.03E-08,1.86E-08,-0.798977073,0.360790801,0.474717323,9.494346452
2.000148191,0.021353257,0.00575846,-0.799394235,0.280868822,-0.284732012,0.004824214,0.36110963,0.475001239,9.500024789
1.999938263,-0.004386543,-0.020226252,-0.799753668,-0.397179367,-0.04688339,0.003651062,0.36118925,0.475072141,9.501442819
1.999933165,-0.016089904,0.015588947,-0.799682405,0.171389659,0.361347578,0.003882288,0.361267146,0.475141507,9.502830145
2.911233786,-0.328640098,0.203034006,-0.610648607,0.146079936,0.048273206,0.701000745,0.3616006,0.475438448,9.508768952
2.413750999,0,0,0.500091688,0,0,-0.650285304,0.362187812,0.475961359,9.519227183
3.169055566,0.1564628,-0.509841028,-0.581013647,-0.531829816,0.359743629,-0.313559626,0.363723319,0.477328726,9.546574523
3.000125956,-0.30068301,0,-0.52078453,-0.60099237,0,0,0.364189496,0.477743856,9.554877124
2.000142004,-0.043030897,-0.010665746,-0.798562877,-0.531118625,0.597908367,0.018066136,0.365760681,0.479142994,9.582859889
1.999897148,0.041073105,0.008650197,-0.798896862,0.460017758,-0.654178216,0.017843878,0.365769358,0.479150721,9.583014426
1.99997773,-0.04170054,0.011392205,-0.798533819,-0.229116989,0.766041592,0.02218404,0.365948176,0.479309958,9.58619917
3.538634846,-0.175452128,-0.45996676,-0.623786099,-0.138374524,-0.463252615,0.606420003,0.366096365,0.479441921,9.588838412
