M1/M2,Spin1x,Spin1y,Spin1z,Spin2x,Spin2y,Spin2z,Fmass,Fmnorm,Fmint
1.999636354,-0.232373874,0.501700313,0.578295351,0.03867111,0.012869696,0.39787285,0.939132256,0.489992836,9.799856713
1.32579718,0.206322136,-0.671604384,0.226394504,0.518040523,-0.298708829,0.479561814,0.93934511,0.491843623,9.836872465
1,0,0,0.35001088,0,0,0.35001088,0.93950938,0.493271968,9.865439359
1.999798087,0,0,0.60140412,0,0,0.60114122,0.9395919,0.493989488,9.879789758
1.999957077,-2.75E-08,7.56E-08,0.599928349,-9.60E-09,1.18E-08,0.599985848,0.93959238,0.493993662,9.879873231
1.999948129,5.72E-08,-1.81E-07,0.600006122,-5.03E-08,-5.13E-08,0.599798108,0.939611779,0.494162338,9.883246757
2.016086661,-0.139251787,-0.354402764,0.617916624,-0.650101042,-0.15985712,0.380179635,0.939717332,0.495080132,9.901602642
0.999996336,0.1095332,0.48166481,0.34292336,0.46093605,-0.28800708,0.25723264,0.9399142,0.49679192,9.935838396
1.333313261,-0.683616278,-0.414035272,0.031344773,-0.016807555,0.091911969,0.794407669,0.939988646,0.497439235,9.948784709
1.333247655,0.707555427,-0.371655634,0.032824582,-0.066915084,-0.060641867,0.794773128,0.9400807,0.498239655,9.964793091
1.998499037,0,0,-0.50004693,0,0,0.851333874,0.940306293,0.500201209,10.00402418
0.999921322,-0.040897782,0.134833724,-0.142036937,0.012965737,-0.002289251,0.799652222,0.940362184,0.500687187,10.01374374
2.999110486,0,0,0.800429331,0,0,0.800843408,0.94038857,0.500916616,10.01833232
1.421074357,0.279430777,-0.631359325,0.38417174,-0.491131015,-0.450115805,0.242872057,0.940459568,0.501533951,10.03067902
1.176370353,0,0,0,0,0,0.600153571,0.940478894,0.501701993,10.03403985
1.227967567,0.133685804,0.380314012,0.291025045,0.283607893,0.000262958,0.373003191,0.940536661,0.502204283,10.04408565
1.500118588,4.90E-08,-2.31E-08,0.799731332,-1.72E-08,1.42E-08,-0.400042986,0.94057485,0.50253634,10.0507268
1.999758942,0,0,0.500032444,0,0,0.600135788,0.940725171,0.503843397,10.07686793
1.749662202,-5.58E-08,8.18E-08,0.400069975,2.08E-08,1.55E-08,0.799880171,0.940755437,0.504106563,10.08213125
1.000080442,-0.331332299,-0.433236349,0.585134152,1.32E-06,5.87E-06,5.33E-05,0.940770691,0.504239198,10.08478396
